RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,Default
0.029164236,31,0,0.395031809,3300.0,10,0,1,0,0,0
0.0,58,0,0.316144874,4886.0,9,0,1,0,1,0
0.003749688,64,0,0.004061231,3200.0,5,0,0,1,0,0
0.734477501,45,0,0.591477634,4716.0,13,0,2,0,2,1
0.023767433,83,0,0.123797734,10500.0,13,0,0,0,0,0
0.791173628,44,0,0.51241535,3100.0,5,0,1,0,0,0
0.24535301,37,0,0.288417167,6500.0,11,1,1,1,0,0
0.542242704,48,2,10.0,0.0,2,0,0,0,0,0
0.032617977,75,0,0.006799093,7500.0,4,0,0,0,0,0
0.013024674,61,0,15.0,0.0,4,0,0,0,0,0
0.019387779,34,0,0.32591852,4000.0,9,0,1,0,0,0
0.888008615,44,0,0.299246282,4908.0,8,0,0,0,1,0
0.003108849,57,0,0.258939285,8333.0,7,0,1,0,0,0
0.635415157,32,0,0.519493502,3000.0,4,0,1,0,1,0
0.9999999,62,0,0.664221287,8314.0,8,0,3,0,0,0
0.096737158,47,0,0.009748781,8000.0,2,0,0,0,2,0
0.31844615,58,0,1.382629108,3833.0,26,0,4,0,0,0
0.180972181,39,1,0.384441575,3097.0,7,0,1,0,3,0
0.00750765,74,0,7.0,0.0,4,0,0,0,0,0
0.007520592,68,0,269.0,0.0,4,0,0,0,0,0
0.015271802,68,0,0.12290366,8168.0,6,0,0,0,0,0
0.51712072,31,0,0.123752495,500.0,3,0,0,0,0,0
0.317975796,34,0,0.297933792,4500.0,11,0,2,0,0,0
0.297594642,67,0,0.239507959,4145.0,13,0,0,0,0,0
0.444837661,58,0,0.366545247,14000.0,9,0,2,1,4,0
0.003722015,58,0,0.63332301,3228.0,5,0,1,0,0,0
0.0,59,0,0.218854341,19167.0,13,0,2,0,0,0
0.0,59,0,0.351699622,4500.0,12,0,1,0,0,0
0.0,48,0,0.517468688,4550.0,7,0,2,0,0,0
0.163037489,81,0,0.086482558,2751.0,7,0,0,0,1,0
0.047311582,51,0,0.100920343,3150.0,5,0,0,0,0,0
0.089478348,56,0,1.065901518,2700.0,11,0,1,0,2,0
0.773519223,63,0,1.129227053,4139.0,12,0,1,0,1,0
0.093962275,55,0,0.112051635,9450.0,6,0,2,0,0,0
0.21955042,54,0,0.315983758,5417.0,20,0,2,0,1,0
0.9999999,38,0,0.43369976,5821.0,7,0,1,0,4,0
0.496911825,40,0,0.452363811,12500.0,11,0,2,0,2,0
0.130902106,48,1,0.427882174,3937.0,17,0,1,0,0,0
0.54699881,50,0,0.748071979,3500.0,9,0,2,0,3,0
0.072277109,34,0,0.025911708,2083.0,2,0,0,0,0,0
0.0,28,0,0.144616356,3166.0,7,0,0,0,0,0
0.21286031,36,0,0.563752087,9583.0,10,0,2,0,1,0
0.012682366,60,0,0.412979783,6825.0,20,0,2,0,0,0
0.121557062,58,0,0.342971419,12000.0,23,0,2,0,4,0
0.040795358,49,0,0.801999355,3100.0,11,0,1,0,0,0
0.0,63,0,2.0,0.0,4,0,0,0,0,0
0.0,50,1,0.726566993,3477.0,5,0,1,0,1,0
0.070771911,38,0,2088.0,0.0,6,0,1,0,0,0
1.046279103,47,1,1.104301274,5416.0,6,0,2,0,1,1
0.323719804,63,0,0.610841267,5146.0,9,0,2,0,2,0
0.36459777,42,0,0.593899089,6916.0,7,0,3,0,0,0
0.637736406,54,2,3.382196162,1875.0,9,0,2,0,0,0
0.081379827,63,0,1268.0,0.0,8,0,1,0,0,0
0.020966389,29,0,639.5,1.0,3,0,1,0,2,0
0.170103002,36,0,0.138461538,7734.0,8,0,0,0,0,0
0.05538241,72,0,0.089091313,4500.0,4,0,0,0,0,0
0.16653274,53,0,0.543625949,7506.0,11,0,3,0,3,0
0.008632035,79,0,0.365151154,4200.0,9,0,1,0,0,0
0.13527952,58,0,0.342005076,9455.0,11,0,2,0,2,0
0.167571389,69,0,0.330733853,5000.0,10,0,1,0,1,0
0.068335151,75,0,0.010927876,10065.0,9,0,0,0,0,0
0.0,41,0,0.907538526,2400.0,6,0,1,0,0,0
0.946963874,35,0,1593.0,0.0,6,0,1,0,1,1
0.405183973,46,0,0.667835346,7700.0,22,0,2,0,1,0
0.055549313,65,0,2177.0,0.0,6,0,1,0,1,0
0.676195456,55,0,0.436665827,3970.0,10,1,1,0,0,0
0.184986787,55,4,3144.0,0.0,11,0,1,0,0,0
0.085338293,51,0,0.477503628,6200.0,11,0,1,0,0,1
0.0,25,0,0.152896812,2916.0,3,0,0,1,0,1
0.786485406,44,0,0.291709578,3883.0,7,2,0,2,1,1
0.0112096,86,0,13.0,0.0,3,0,0,0,0,0
0.03833451,56,0,0.438912218,5000.0,7,0,2,0,0,0
0.714980139,55,0,0.47090194,15000.0,12,0,2,0,3,0
0.043032042,64,0,0.332016389,6833.0,14,0,2,0,0,0
0.0,49,0,2932.0,0.0,11,0,1,0,0,0
0.101430135,80,1,0.016196761,5000.0,9,0,0,0,0,0
0.762158561,44,4,0.224465502,21000.0,5,0,1,0,3,0
0.114869499,35,0,103.0,0.0,6,0,0,0,0,0
0.035489848,69,0,0.308438695,3400.0,9,0,1,0,0,0
0.311954668,61,0,0.269281443,9866.0,12,0,2,0,2,0
0.021978375,40,0,0.443755624,10000.0,12,0,5,0,2,0
0.443696851,27,0,0.024340075,5833.0,4,0,0,0,0,0
0.046640328,92,1,0.034326669,2650.0,13,0,0,0,0,0
0.20808276,64,0,2826.0,0.0,14,0,2,0,0,0
0.9999999,66,1,0.358101135,1937.0,4,1,0,0,0,0
0.013500824,53,0,0.183464028,19000.0,8,0,1,0,2,0
0.9999999,62,0,0.04965839,6000.0,1,0,0,0,0,0
0.9999999,50,2,1208.0,0.0,4,0,1,0,0,0
0.593985244,63,0,0.332698534,5250.0,4,0,2,0,0,0
0.017508178,73,1,0.135589153,4166.0,12,0,1,0,0,0
0.611865678,72,0,0.04578345,7600.0,3,0,1,0,0,0
0.333060631,52,3,0.700153374,5215.0,15,0,2,1,0,0
0.009025178,45,0,0.376836435,8167.0,4,0,1,0,2,0
0.260271523,44,0,0.296854804,6962.0,11,0,1,0,0,0
0.455950788,63,1,0.701766078,6001.0,19,0,2,0,0,0
0.147123525,41,0,0.436025621,6400.0,5,0,1,0,2,0
0.025601772,63,1,0.262773723,10000.0,8,0,1,0,0,0
0.0,76,0,0.002465931,7704.0,3,0,0,0,0,0
0.196372799,43,0,0.537485582,2600.0,10,0,1,0,0,0
0.083945242,64,0,0.588073078,2900.0,6,0,1,0,0,0
0.034833091,67,0,0.460246187,12916.0,9,0,2,0,0,0
0.787522133,52,0,0.353860086,4416.0,12,0,0,0,1,0
0.06037487,42,0,0.578676723,5833.0,17,0,2,0,2,0
0.295928252,47,0,0.283765445,14000.0,6,0,2,0,1,0
0.002856735,73,0,0.000285687,10500.0,10,0,0,0,0,0
0.877564897,58,0,2825.0,0.0,10,0,2,0,0,0
0.9999999,68,0,0.040493251,6000.0,0,0,0,0,0,0
0.114561798,40,0,0.359964004,10000.0,20,0,2,0,2,0
0.012151003,78,0,0.008886914,4500.0,12,0,0,0,0,0
0.081310737,81,0,0.165566887,3333.0,4,0,0,0,0,0
0.09811305,49,0,0.257017809,6625.0,9,0,2,0,0,0
1.048210842,58,7,0.151956584,3500.0,12,0,0,0,0,1
0.011883886,54,0,0.092913547,9750.0,8,0,1,0,2,0
0.75264947,33,1,0.058322869,7166.0,6,0,0,0,0,0
0.112321289,53,0,0.266909775,8500.0,9,0,1,0,5,0
0.634327056,49,1,0.123125125,15000.0,7,0,0,0,1,0
0.15576324,44,0,0.278077082,4825.0,4,0,1,0,2,0
0.0,63,0,0.007988922,9387.0,9,0,0,0,0,0
0.090614887,42,0,86.0,0.0,5,0,0,0,0,0
0.034645112,65,0,0.125189985,12500.0,4,0,1,0,1,0
0.412398622,28,0,0.037259615,4991.0,5,0,0,0,0,0
0.024670782,78,0,392.0,0.0,6,0,1,0,0,0
0.267541336,59,0,0.637607437,5700.0,13,0,2,0,1,0
0.019779326,76,0,0.267149259,2900.0,9,0,0,0,0,0
0.9999999,61,0,0.529548989,1285.0,3,0,1,0,0,0
0.181713732,57,0,0.130453416,11666.0,17,0,1,0,1,0
0.051368557,68,0,0.445277361,4668.0,10,0,1,0,2,0
0.29264536,57,0,0.205927884,26484.0,11,0,2,0,3,0
0.220823719,46,1,0.637749121,1705.0,5,0,0,0,0,1
0.008099838,69,0,0.389895596,8332.0,3,0,1,0,0,0
0.0,44,0,0.326383681,6666.0,4,0,2,0,1,0
0.006099797,28,0,0.139429485,3750.0,8,0,0,0,0,0
0.909538698,53,1,0.595653913,7500.0,16,0,1,0,1,0
0.941072508,40,0,0.178184282,8855.0,9,0,1,0,0,0
0.991667222,36,1,0.554878049,5411.0,10,0,2,0,1,0
0.691488418,42,0,0.272721679,16250.0,11,0,1,0,1,0
0.112855258,64,0,0.307576329,2652.0,6,0,1,0,0,0
0.9999999,47,0,0.092163472,9493.0,2,2,0,1,0,0
0.074256375,49,0,0.347930414,5000.0,11,0,2,0,3,0
0.144878408,66,0,0.28446242,8900.0,9,0,1,0,0,0
0.191001932,54,0,0.705627706,5081.0,10,0,2,0,2,0
0.219382879,56,1,942.0,0.0,9,0,1,0,1,0
0.679813777,83,0,0.689589756,4216.0,6,0,2,0,0,0
0.371875401,29,0,0.53628857,2300.0,9,0,1,0,3,0
0.271668778,46,1,0.282830201,15800.0,14,0,2,0,4,0
0.085152475,25,0,1005.0,0.0,5,0,0,0,0,0
0.897203427,68,0,0.787803049,4000.0,8,0,2,0,0,0
0.0,55,1,0.03988553,5590.0,8,0,0,0,0,0
0.035940506,46,0,0.271186441,6666.0,10,0,1,0,3,0
0.9999999,66,0,0.046633911,11600.0,2,0,0,0,1,0
0.865423051,48,0,0.075848303,500.0,1,0,0,0,0,0
0.696411671,52,0,0.408871921,11000.0,11,0,1,0,4,0
0.544497658,32,1,0.166766647,6667.0,5,1,0,0,0,0
0.948762809,27,0,0.144948404,4166.0,5,0,0,0,0,0
0.0,32,2,0.463610776,7460.0,10,0,1,1,0,0
0.063329564,37,0,0.329935275,6179.0,6,0,1,0,3,0
0.093638481,49,0,0.042836573,8333.0,10,0,0,0,1,0
0.0,37,0,0.184027338,7900.0,5,0,1,0,5,0
0.730271957,36,1,0.632794037,5500.0,10,0,2,0,0,0
0.426371142,62,1,0.406053995,3666.0,15,0,1,0,0,0
0.948978489,57,0,0.043744532,8000.0,3,0,0,0,1,0
0.0,59,0,0.0,4200.0,7,0,0,0,1,0
1.00264667,38,2,0.472542946,3550.0,8,1,0,1,4,0
0.022890604,37,0,0.288477299,6100.0,16,0,1,0,0,0
0.283821988,63,0,0.750200803,1244.0,9,0,0,0,0,0
0.319779462,32,0,1.247340213,12500.0,12,0,8,0,0,0
0.067259209,29,1,0.168340507,2090.0,3,0,0,0,0,0
0.284236153,45,1,0.318890815,7500.0,9,0,1,0,2,0
0.727560021,38,0,0.712458746,2423.0,6,0,1,0,1,0
0.687779097,62,0,0.249471161,7090.0,15,0,0,0,0,0
0.9999999,29,0,0.0,0.0,0,0,0,0,0,0
0.03719769,47,0,0.03975841,25000.0,11,0,1,0,3,1
0.399946674,28,0,0.189702574,4000.0,6,0,0,0,1,0
0.052653171,43,0,0.572292191,1984.0,9,0,0,0,4,0
0.9999999,30,0,0.090341011,5600.0,1,0,0,0,0,0
0.880370887,43,0,0.461323764,7523.0,6,0,1,0,1,1
0.049529205,61,0,542.0,0.0,15,0,0,0,0,0
0.360907571,72,0,0.356679286,3697.0,6,0,1,0,0,0
0.507972665,69,2,0.193935355,3000.0,10,2,0,2,0,0
0.245841666,71,0,151.0,0.0,5,0,0,0,0,0
0.953343701,48,2,2073.0,0.0,5,1,2,2,0,1
0.118853837,50,0,2720.0,0.0,7,0,1,0,2,0
0.630073985,38,0,0.563328034,1886.0,3,0,1,0,0,0
0.028423247,59,0,0.033982276,14330.0,12,0,1,0,0,0
0.143427862,67,0,0.119463561,5666.0,9,0,0,0,0,0
0.186682782,30,0,0.698120752,2500.0,7,0,2,0,2,0
0.457526639,51,0,0.333583302,8000.0,16,0,2,0,2,0
0.947264856,28,0,0.467171717,1187.0,4,0,0,0,0,0
1.047495906,35,2,0.314566116,3871.0,8,0,2,1,3,0
0.026580302,79,0,1063.0,0.0,7,0,1,0,0,0
0.292541492,74,0,0.164917541,2000.0,3,0,0,0,0,0
0.024240472,64,0,0.101514142,10500.0,20,0,1,0,0,0
0.739146488,63,1,0.285156885,6150.0,12,0,0,0,1,1
0.186890655,54,0,0.655589124,3640.0,7,0,1,0,1,0
0.007501937,63,0,0.278226307,8050.0,13,0,2,0,3,0
0.522314625,45,0,0.290229092,14491.0,13,0,1,0,3,0
0.9999999,22,0,130.0,0.0,0,0,0,0,0,0
0.571604587,66,0,870.0,0.0,12,0,0,0,0,0
0.903231566,57,0,0.13080895,5228.0,10,0,0,0,0,0
0.060733396,61,0,0.008549573,20000.0,8,0,0,0,0,0
0.003894686,90,0,876.0,0.0,11,0,1,0,0,0
0.114588541,38,0,34.0,0.0,2,0,0,0,0,0
0.029694361,76,0,0.070513488,9600.0,7,0,0,0,2,0
0.000685675,83,0,0.0,0.0,4,0,0,0,0,0
0.702493864,63,0,0.582162622,4697.0,8,0,2,0,1,0
0.742436041,52,0,0.414081023,9700.0,10,0,2,0,0,0
0.9999999,42,1,0.113421853,6250.0,3,3,0,1,2,0
0.134191514,63,0,926.5,1.0,9,0,1,0,0,0
0.002556199,58,0,0.115826132,7752.0,17,0,0,0,2,0
0.088845558,62,0,0.073772011,5394.0,5,0,0,0,0,0
0.006666097,27,0,0.000268637,7444.0,5,0,0,0,0,0
0.014049649,27,0,0.352214765,3724.0,4,0,1,0,1,0
0.9999999,35,1,0.092985318,3064.0,1,0,0,0,3,0
0.368866624,55,0,0.437996083,9700.0,18,0,2,0,0,0
0.026885902,36,0,0.344879921,11200.0,6,0,2,0,2,0
0.265705207,56,0,0.259102536,31666.0,8,0,3,0,1,0
0.0,59,0,2113.0,0.0,13,0,2,0,0,0
0.07083751,64,0,0.255290785,6000.0,6,0,0,0,1,0
0.030996074,56,0,0.131430952,4800.0,11,0,1,0,0,0
0.144914011,37,0,0.045366363,6700.0,5,0,0,0,0,0
0.353017659,48,0,1.299736021,4166.0,17,0,1,0,1,0
0.020074662,36,0,0.334245422,4750.0,5,0,1,0,0,0
0.063514422,57,0,2221.5,1.0,12,0,2,0,0,0
0.03157211,39,0,0.644706486,3900.0,14,0,1,0,1,0
0.991502124,61,10,1.2979007,3000.0,11,2,3,5,1,1
0.971352432,24,0,0.035803497,1200.0,3,0,0,0,0,0
0.9999999,33,0,1786.0,0.0,3,0,1,0,0,0
0.9999999,79,0,0.130140954,5178.0,6,0,1,0,0,0
0.003851709,81,0,0.000822143,3648.0,1,0,0,0,1,0
0.006956358,52,0,0.003278689,2439.0,4,0,0,0,0,0
0.073251754,51,0,0.446688128,10250.0,9,0,1,0,2,0
0.431904058,63,0,0.41905226,8208.0,22,1,2,0,0,0
0.006999563,97,0,3.0,0.0,2,0,0,0,0,0
0.014310431,56,0,13.0,0.0,2,0,0,0,0,0
0.297094601,43,1,0.603763294,3666.0,9,0,1,0,2,0
0.316064767,56,0,1348.0,0.0,3,0,1,0,0,0
0.0,59,0,862.0,0.0,2,0,1,0,0,0
0.922670104,40,0,0.207789429,9345.0,7,0,0,0,0,0
0.051077957,74,0,0.306409131,3416.0,9,0,1,0,0,0
0.319190816,49,0,0.358153388,9400.0,18,0,2,0,0,0
0.008737352,68,0,0.209965006,6000.0,28,0,1,0,0,0
0.0,57,0,0.785229953,6783.0,8,0,3,0,0,0
0.243674266,48,0,0.179979778,8900.0,10,0,1,0,6,0
0.9999999,40,1,0.19170579,3833.0,3,2,0,0,2,0
0.0,23,0,0.0,3500.0,1,0,0,0,1,0
0.028910707,52,0,0.013543599,5389.0,7,0,0,0,2,0
0.03423863,48,0,2045.0,0.0,3,0,1,0,0,0
0.50329934,55,0,0.454057468,3166.0,5,0,2,0,0,0
0.799981673,61,3,0.671076012,5064.0,19,0,3,1,0,0
0.069987933,33,0,0.114004783,3762.0,7,0,0,0,0,0
0.067901335,69,0,0.065493451,10000.0,5,0,1,0,0,0
0.740635161,39,0,0.432010059,5566.0,7,0,1,0,0,0
0.003625197,78,0,726.0,0.0,8,0,1,0,0,0
0.092287617,61,0,0.229436075,7500.0,23,0,2,0,2,0
0.0,37,0,0.177007047,7236.0,5,0,1,0,3,0
0.9999999,33,1,0.257707218,5416.0,2,2,1,0,1,0
0.057867667,81,0,0.145685279,3939.0,13,0,0,0,0,0
0.07807727,60,0,0.566105156,3917.0,14,0,1,0,2,0
0.201943642,46,0,0.394460554,10000.0,15,0,2,0,3,0
0.9999999,32,0,0.006731051,3416.0,1,0,0,0,3,1
0.57985084,42,0,0.594224361,2700.0,8,0,0,0,0,1
0.073393457,38,1,0.384761524,10000.0,9,0,2,0,0,0
0.079178219,82,0,0.176964607,5000.0,3,0,1,0,0,0
0.073123172,33,0,0.216405216,5290.0,9,0,0,0,0,0
0.10088331,52,1,0.280494456,5500.0,6,1,1,0,2,0
0.347665233,46,0,0.041583367,2500.0,1,0,0,0,1,0
0.102031508,66,0,90.0,0.0,4,0,0,0,0,0
0.354125994,57,0,0.558762411,4330.0,4,0,1,0,0,0
0.029643294,50,0,0.399106478,9400.0,15,3,4,0,0,0
0.540204354,34,0,0.034395414,7500.0,3,1,0,0,0,0
0.058271403,76,0,0.374304267,4311.0,7,0,1,0,0,0
0.719305764,64,0,0.186225718,6228.0,5,0,1,0,0,0
0.045017363,72,0,0.020763907,3900.0,8,0,0,0,0,0
0.35592819,48,0,0.478090767,7667.0,17,0,2,0,0,0
0.57762185,71,1,0.4925,6399.0,14,0,2,0,1,0
0.015054291,59,0,929.0,0.0,11,0,1,0,2,0
0.320593837,53,0,1.114622389,5600.0,14,0,1,0,1,0
0.047587303,34,0,997.0,0.0,4,0,0,0,0,0
0.173428408,51,1,0.086269282,5250.0,11,0,0,0,0,0
0.0,27,2,0.229139073,2264.0,5,2,0,1,0,0
0.0,75,0,0.205971968,1640.0,4,0,0,0,1,0
0.993335555,31,0,0.068227425,4484.0,6,0,0,0,1,0
0.138793584,43,0,0.384074741,11666.0,9,0,5,0,0,0
0.001124859,28,1,0.057990335,6000.0,8,1,0,0,0,0
0.979521555,55,1,0.467850417,7433.0,11,0,2,2,0,0
0.090641506,69,0,0.016683267,4015.0,2,0,0,0,0,0
0.38480769,42,0,0.533099636,7416.0,5,0,1,0,3,0
0.183676155,33,0,0.660528423,2497.0,9,0,1,0,0,0
0.018124667,60,0,0.023181455,1250.0,4,0,0,0,1,0
0.9999999,54,0,0.228402866,2372.0,2,0,0,1,0,1
0.052161271,49,0,0.067629397,6993.0,5,0,0,0,1,0
0.9999999,91,0,0.0,0.0,3,0,0,0,0,0
0.412657703,66,1,0.195074372,4100.0,7,1,0,0,0,0
0.091201293,49,1,0.568886223,5000.0,15,0,2,0,0,0
0.500234532,46,0,0.278025952,4700.0,10,0,1,0,1,0
0.913140498,37,2,1.620344914,4000.0,16,0,3,0,1,1
0.499666889,39,0,0.450171821,3200.0,8,0,1,0,0,0
0.9999999,56,0,7.0,0.0,1,0,0,0,0,0
0.289470539,44,0,0.4825614,8916.0,17,0,2,0,1,0
0.814154511,50,1,0.297139683,3600.0,8,0,1,1,1,1
0.016406971,55,0,0.001785714,5599.0,3,0,0,0,2,0
0.01255887,62,0,0.044762033,7416.0,5,0,0,0,0,0
0.062093267,42,0,0.230261579,8333.0,6,0,1,0,4,0
0.074201053,47,0,1215.0,0.0,4,0,1,0,0,0
0.551889862,42,1,0.790613718,3600.0,18,0,2,0,1,0
0.581815774,45,0,0.724784402,8000.0,11,0,2,0,0,0
0.0,82,0,0.0,0.0,3,0,0,0,0,0
0.040186458,35,0,0.300839136,5600.0,8,0,2,0,1,0
0.955545894,52,1,0.524949909,10480.0,11,0,3,0,1,1
0.086635409,40,0,887.0,0.0,8,0,1,0,1,0
0.212768452,57,0,2301.0,0.0,17,0,2,0,0,0
0.9543957,45,2,0.4842141,8836.0,10,0,1,0,1,0
0.188256123,27,0,0.881825173,3900.0,6,0,1,0,1,0
1.245847176,24,1,499.0,0.0,4,1,0,0,0,0
0.014049887,37,0,0.674399608,6120.0,9,0,1,0,0,0
0.484099985,40,0,0.423251505,10794.0,9,0,2,0,2,0
0.035113768,56,0,87.0,0.0,11,0,0,0,0,0
0.9999999,40,0,0.60616581,7200.0,6,0,3,0,0,0
0.152250785,49,0,0.030774358,9000.0,3,0,0,0,0,0
0.2128856,66,0,0.351891786,5100.0,10,0,1,0,0,0
0.9999999,63,3,0.200843235,5217.0,5,0,1,1,4,0
0.9999999,45,0,461.0,0.0,2,0,0,0,0,0
0.0,30,0,0.0,4700.0,1,0,0,0,1,0
0.408215982,39,0,677.0,0.0,4,0,0,0,2,0
0.0,27,0,0.0,4500.0,5,0,0,0,0,0
0.004552998,34,0,3.0,0.0,2,0,0,0,0,0
0.277436128,59,0,0.388566694,3620.0,8,0,1,0,1,0
0.285342534,38,0,0.08951092,3250.0,4,0,0,0,3,0
0.57073821,39,0,1314.0,0.0,5,2,2,0,0,0
0.732711215,29,0,0.338531127,8400.0,10,0,1,0,0,0
0.486651335,55,0,0.324741695,9000.0,10,0,2,0,0,0
0.043861767,69,0,0.064119265,6908.0,7,0,1,0,0,0
0.03929607,48,0,0.480393478,7420.0,10,0,2,0,0,0
0.339503567,89,1,0.549380248,2500.0,9,3,0,1,0,1
0.008684579,75,0,0.0013269,8289.0,5,0,0,0,0,0
0.000309046,49,0,562.0,0.0,10,0,1,0,0,0
0.9999999,40,0,0.185755935,2400.0,1,2,0,0,0,0
0.836294011,29,3,0.260170076,4350.0,8,0,1,0,1,0
0.291956248,45,0,1021.0,0.0,5,0,0,0,0,0
0.106531463,78,0,0.024303074,5595.0,9,0,0,0,0,0
0.250818316,36,0,0.240143984,5833.0,6,0,2,0,1,0
0.181579946,54,0,0.3539428,6048.0,9,0,1,0,1,0
0.048911121,63,0,0.102800764,6283.0,4,0,0,0,1,0
0.024100447,86,0,0.010791367,2223.0,6,0,0,0,0,0
0.122976319,50,0,0.454103343,3289.0,6,0,1,0,1,0
0.387065977,51,0,0.350874186,5833.0,12,0,1,2,1,1
0.021741679,70,0,0.187762448,5000.0,11,0,1,0,0,0
0.269257489,44,0,0.607594937,1500.0,7,0,0,0,3,0
0.996301651,39,2,0.306101912,10930.0,17,0,0,0,1,0
0.019153961,49,0,0.201025979,33333.0,6,0,3,0,4,0
0.155742213,39,0,723.0,0.0,13,0,0,0,2,0
0.733914381,33,0,0.158975542,4333.0,7,1,0,0,1,0
0.095634788,36,0,0.175266904,2247.0,4,0,0,0,1,0
0.124801376,62,0,0.566894457,6584.0,15,0,2,0,0,0
0.016995185,62,0,0.002301937,5212.0,4,0,0,0,0,0
0.964038058,29,1,0.263516583,2200.0,6,0,0,0,0,0
0.211206477,44,1,0.2138395,2080.0,13,1,0,1,0,0
0.184476515,32,0,0.444956049,7166.0,11,0,2,0,0,0
0.0,52,0,0.444444444,3500.0,5,0,2,0,1,0
0.069069784,71,0,1468.0,0.0,3,0,1,0,0,0
0.187090597,63,0,0.506873282,4000.0,10,0,2,0,1,0
0.193612774,47,0,0.020146833,5856.0,1,0,0,0,3,0
0.014441183,75,0,0.145703611,16059.0,8,0,1,0,0,0
0.346960384,41,0,1.432686655,1700.0,13,0,3,0,2,0
